platform,platform_episode_number,platform_title,url,parked_reason
fireside,047,"S02 Ep047 | Neanderthal Brains, Fusion Gold, and Grand Canyon Fossils",https://gsr.fireside.fm/25,D1 — S02 deferred
fireside,048,"S02 Ep048 | Extinction Warnings, Radioactive Dogs, and AI Singularity Fears",https://gsr.fireside.fm/26,D1 — S02 deferred
fireside,049,"S02 Ep049 | Rewriting Life’s Code, Earth’s Lost Oceans, and Ringed Earth Theory",https://gsr.fireside.fm/27,D1 — S02 deferred
fireside,050,"S02 Ep050 | Monkey Bones, Museums, and the Dark Side of Evolution",https://gsr.fireside.fm/28,D1 — S02 deferred
fireside,051,"S02 Ep051 | Harpy Eagles, Living Fossils, and the Truth Behind Babel",https://gsr.fireside.fm/29,D1 — S02 deferred
fireside,052,"S02 Ep052 | DNA, Nature’s Blueprints, and the Age of Design Begins",https://gsr.fireside.fm/30,D1 — S02 deferred
fireside,053,"S02 Ep053 | Shadowless Sunlight, CRISPR Design, and the Fight for Free Speech",https://gsr.fireside.fm/31,D1 — S02 deferred
fireside,054,S02 Ep054 | Snakes and Scientists: What’s Being Hidden from the Public?,https://gsr.fireside.fm/32,D1 — S02 deferred
fireside,055,"S02 Ep055 | AI Supports the Bible, But Can It Save Humanity?",https://gsr.fireside.fm/33,D1 — S02 deferred
fireside,056,S02 Ep056 | The Age Of Design Continues + Did Science Prove God?,https://gsr.fireside.fm/34,D1 — S02 deferred
fireside,057,S02 Ep057 | Nature’s Superpowers: Owl Precision and Lizard Defenses,https://gsr.fireside.fm/35,D1 — S02 deferred
fireside,058,"S02 Ep058 | Exoplanets, Fossil Secrets, And The Age Of Design",https://gsr.fireside.fm/36,D1 — S02 deferred
rumble,001,Genesis Science Report | Dragon Tales + Gene Splicing S2 Ep1,https://rumble.com/v74062q-genesis-science-report-dragon-tales-gene-splicing-s2-ep1.html,D1 — S02 deferred
rumble,002,Ancient Civilizations and Creation Under Attack | Genesis Science Report S2 Ep2,https://rumble.com/v70ttui-ancient-civilizations-and-creation-under-attack-genesis-science-report-s2-e.html,D1 — S02 deferred
rumble,004,Gene Duplication Theory + Living Fossil Revelations | Genesis Science Report S02,https://rumble.com/v70tvma-gene-duplication-theory-living-fossil-revelations-genesis-science-report-s0.html,D1 — S02 deferred
rumble,005,Eugenics = Racism + Biblical Lifespan Research | Genesis Science Report S02 EP00,https://rumble.com/v70whdm-eugenics-racism-biblical-lifespan-research-genesis-science-report-s02-ep005.html,D1 — S02 deferred
rumble,006,Kangaroos After the Flood + Fossil Bats | Genesis Science Report with David Rive,https://rumble.com/v70wks4-kangaroos-after-the-flood-fossil-bats-genesis-science-report-with-david-riv.html,D1 — S02 deferred
rumble,007,Flood Legends + Flying Lizards | Genesis Science Report with David Rives | S02 E,https://rumble.com/v70x1b6-flood-legends-flying-lizards-genesis-science-report-with-david-rives-s02-ep.html,D1 — S02 deferred
rumble,008,Tuskless Elephants Evidence for Evolution? | Genesis Science Report S02 EP008,https://rumble.com/v70x1te-tuskless-elephants-evidence-for-evolution-genesis-science-report-s02-ep008.html,D1 — S02 deferred
rumble,009,Big Bang Busted!? l Genesis Science Report with David Rives l S02 Ep009,https://rumble.com/v70x2u6-big-bang-busted-l-genesis-science-report-with-david-rives-l-s02-ep009.html,D1 — S02 deferred
rumble,010,Creation Secrets Buried in the Earth | Genesis Science Report with David Rives |,https://rumble.com/v70x3bi-creation-secrets-buried-in-the-earth-genesis-science-report-with-david-rive.html,D1 — S02 deferred
rumble,011,The Global Flood & Modern Science | Genesis Science Report with David Rives | S0,https://rumble.com/v70x3sc-the-global-flood-and-modern-science-genesis-science-report-with-david-rives.html,D1 — S02 deferred
rumble,012,Giant Birds and Extraterrestrial Life | Genesis Science Report with David Rives ,https://rumble.com/v70x47k-giant-birds-and-extraterrestrial-life-genesis-science-report-with-david-riv.html,D1 — S02 deferred
rumble,013,"Collagen, Bugs and Climate Change | Genesis Science Report with David Rives | S0",https://rumble.com/v70x4po-collagen-bugs-and-climate-change-genesis-science-report-with-david-rives-s0.html,D1 — S02 deferred
rumble,014,Revealing Wonders of the Past | Genesis Science Report with David Rives | S02 Ep,https://rumble.com/v70x4z0-revealing-wonders-of-the-past-genesis-science-report-with-david-rives-s02-e.html,D1 — S02 deferred
rumble,015,Colonizing Mars | Genesis Science Report with David Rives | S02 Ep. 15,https://rumble.com/v70x68e-colonizing-mars-genesis-science-report-with-david-rives-s02-ep.-15.html,D1 — S02 deferred
rumble,016,A Worldly Legacy or Biblical Truth? | Genesis Science Report with David Rives | ,https://rumble.com/v70x6mo-a-worldly-legacy-or-biblical-truth-genesis-science-report-with-david-rives-.html,D1 — S02 deferred
rumble,017,Dinosaurs to Birds | Genesis Science Report with David Rives | S02 Ep. 17,https://rumble.com/v70x6ya-dinosaurs-to-birds-genesis-science-report-with-david-rives-s02-ep.-17.html,D1 — S02 deferred
rumble,018,Beyond Earth | Genesis Science Report with David Rives | S02 Ep. 18,https://rumble.com/v70x7ge-beyond-earth-genesis-science-report-with-david-rives-s02-ep.-18.html,D1 — S02 deferred
rumble,019,Defying Predictions | Genesis Science Report with David Rives | S02 Ep. 19,https://rumble.com/v70y4ss-defying-predictions-genesis-science-report-with-david-rives-s02-ep.-19.html,D1 — S02 deferred
rumble,020,The Truth Revolution | Genesis Science Report with David Rives - S02 Ep.20,https://rumble.com/v70y61m-the-truth-revolution-genesis-science-report-with-david-rives-s02-ep.20.html,D1 — S02 deferred
rumble,020,The Truth Revolution | Genesis Science Report with David Rives - S02 Ep.20,https://rumble.com/v74aas0-the-truth-revolution-genesis-science-report-with-david-rives-s02-ep.20.html,D1 — S02 deferred
rumble,021,Are Humans Becoming Machines?  | Genesis Science Report with David Rives | S02 E,https://rumble.com/v7185d8-are-humans-becoming-machines-genesis-science-report-with-david-rives-s02-ep.html,D1 — S02 deferred
rumble,021,Are Humans Becoming Machines? | Genesis Science Report with David Rives | S02 Ep,https://rumble.com/v74abfg-are-humans-becoming-machines-genesis-science-report-with-david-rives-s02-ep.html,D1 — S02 deferred
rumble,022,7 Planets Are Lining Up in 2025 | Genesis Science Report with David Rives | S02 ,https://rumble.com/v718aqy-7-planets-are-lining-up-in-2025-genesis-science-report-with-david-rives-s02.html,D1 — S02 deferred
rumble,023,Billion Dollar Empire and the Real Golden Age | Genesis Science Report with Davi,https://rumble.com/v74bov2-billion-dollar-empire-and-the-real-golden-age-genesis-science-report-with-d.html,D1 — S02 deferred
rumble,024,What Hubble Just Taught Us After 10 YEARS | Genesis Science Report with David Ri,https://rumble.com/v74byi0-what-hubble-just-taught-us-after-10-years-genesis-science-report-with-david.html,D1 — S02 deferred
rumble,025,Truth vs. Technology: What Are We Becoming? | Genesis Science Report with David ,https://rumble.com/v718epe-truth-vs.-technology-what-are-we-becoming-genesis-science-report-with-david.html,D1 — S02 deferred
rumble,026,"Starlink, Predators & The Pre-Fall World | Genesis Science Report with David Riv",https://rumble.com/v718g4g-starlink-predators-and-the-pre-fall-world-genesis-science-report-with-david.html,D1 — S02 deferred
rumble,026,"Starlink, Predators & The Pre-Fall World | Genesis Science Report with David Riv",https://rumble.com/v76kvk6-starlink-predators-and-the-pre-fall-world-genesis-science-report-with-david.html,D1 — S02 deferred
rumble,027,Pipe Organs & Primates: Music vs. Evolution | Genesis Science Report with David ,https://rumble.com/v71dfki-pipe-organs-and-primates-music-vs.-evolution-genesis-science-report-with-da.html,D1 — S02 deferred
rumble,028,Fossil Clams & Apex Killers | Genesis Science Report with David Rives | S02 Ep28,https://rumble.com/v74buti-fossil-clams-and-apex-killers-genesis-science-report-with-david-rives-s02-e.html,D1 — S02 deferred
rumble,029,Designed to Adapt & Built for a Purpose | Genesis Science Report with David Rive,https://rumble.com/v71dgmm-designed-to-adapt-and-built-for-a-purpose-genesis-science-report-with-david.html,D1 — S02 deferred
rumble,030,CRISPR Unleashed: What Could Go Wrong? | Genesis Science Report with David Rives,https://rumble.com/v74bvoq-crispr-unleashed-what-could-go-wrong-genesis-science-report-with-david-rive.html,D1 — S02 deferred
rumble,031,"Geodes, Geckos & God’s Hidden Wonders | Genesis Science Report with David Rives ",https://rumble.com/v71i5o8-geodes-geckos-and-gods-hidden-wonders-genesis-science-report-with-david-riv.html,D1 — S02 deferred
rumble,032,Science Behind Extinct Species Resurrection | Genesis Science Report with David ,https://rumble.com/v71i63o-science-behind-extinct-species-resurrection-genesis-science-report-with-dav.html,D1 — S02 deferred
rumble,033,Satanic Schools and Space Billionaires? | Genesis Science Report with David Rive,https://rumble.com/v71i70u-satanic-schools-and-space-billionaires-genesis-science-report-with-david-ri.html,D1 — S02 deferred
rumble,034,Project 2025 & Proof of Design | Genesis Science Report with David Rives | S02 E,https://rumble.com/v71i7s0-project-2025-and-proof-of-design-genesis-science-report-with-david-rives-s0.html,D1 — S02 deferred
rumble,035,The Secrets of Resurrection | Genesis Science Report with David Rives | S.02 Ep.,https://rumble.com/v71m9uy-the-secrets-of-resurrection-genesis-science-report-with-david-rives-s.02-ep.html,D1 — S02 deferred
rumble,036,Exposing Evolution’s Dark Past | Genesis Science Report with David Rives | S.02 ,https://rumble.com/v71nibu-exposing-evolutions-dark-past-genesis-science-report-with-david-rives-s.02-.html,D1 — S02 deferred
rumble,037,DNA Myths Shattered & Climate Fears Examined | Genesis Science Report with David,https://rumble.com/v71nirw-dna-myths-shattered-and-climate-fears-examined-genesis-science-report-with-.html,D1 — S02 deferred
rumble,038,Quantum Gravity Breakthrough and Gold in Earth’s Core? | Genesis Science Report ,https://rumble.com/v71nti8-quantum-gravity-breakthrough-and-gold-in-earths-core-genesis-science-report.html,D1 — S02 deferred
rumble,039,Exodus Pharaoh + Fossils in Wrong Places | Genesis Science Report with David Riv,https://rumble.com/v71numi-exodus-pharaoh-fossils-in-wrong-places-genesis-science-report-with-david-ri.html,D1 — S02 deferred
rumble,040,Cosmic Countdown? + Satire Still Speaks Truth | Genesis Science Report with Davi,https://rumble.com/v71nv1y-cosmic-countdown-satire-still-speaks-truth-genesis-science-report-with-davi.html,D1 — S02 deferred
rumble,041,Surviving Mount St. Helens + Gold for Blindness | Genesis Science Report with Da,https://rumble.com/v71nvbu-surviving-mount-st.-helens-gold-for-blindness-genesis-science-report-with-d.html,D1 — S02 deferred
rumble,042,Big Bang Challenged + DNA Experiment | Genesis Science Report with David Rives -,https://rumble.com/v6z1nnq-big-bang-challenged-dna-experiment-genesis-science-report-with-david-rives-.html,D1 — S02 deferred
rumble,043,"Mars ""Skull Hill"" + Mystery of Cambrian Life | Genesis Science Report with David",https://rumble.com/v6zbmc8-mars-skull-hill-mystery-of-cambrian-life-genesis-science-report-with-david-.html,D1 — S02 deferred
rumble,044,Scopes Trial 100 Years + Nuclear Space Travel | Genesis Science Report with Davi,https://rumble.com/v71u45w-scopes-trial-100-years-nuclear-space-travel-genesis-science-report-with-dav.html,D1 — S02 deferred
rumble,045,Raptor Fossils and Solar Flares | Genesis Science Report with David Rives | S02 ,https://rumble.com/v71u9wg-raptor-fossils-and-solar-flares-genesis-science-report-with-david-rives-s02.html,D1 — S02 deferred
rumble,046,Climate Change in Classrooms | Genesis Science Report with David Rives | S02 Ep4,https://rumble.com/v71ub90-climate-change-in-classrooms-genesis-science-report-with-david-rives-s02-ep.html,D1 — S02 deferred
rumble,047,Neanderthal Brains + Fusion Gold | Genesis Science Report with David Rives | S02,https://rumble.com/v71uc9e-neanderthal-brains-fusion-gold-genesis-science-report-with-david-rives-s02-.html,D1 — S02 deferred
rumble,048,"Extinction, Radioactive Dogs, + AI Singularity | Genesis Science Report with Dav",https://rumble.com/v71uf12-extinction-radioactive-dogs-ai-singularity-genesis-science-report-with-davi.html,D1 — S02 deferred
rumble,049,Rewriting Life's Code + Ringed Earth Theory | Genesis Science Report with David ,https://rumble.com/v71ufqy-rewriting-lifes-code-ringed-earth-theory-genesis-science-report-with-david-.html,D1 — S02 deferred
rumble,050,Monkey Bones + Dark Side of Evolution | Genesis Science Report with David Rives ,https://rumble.com/v71ugbw-monkey-bones-dark-side-of-evolution-genesis-science-report-with-david-rives.html,D1 — S02 deferred
rumble,051,"Harpy Eagles, Living Fossils, and Babel | Genesis Science Report with David Rive",https://rumble.com/v71ugyo-harpy-eagles-living-fossils-and-babel-genesis-science-report-with-david-riv.html,D1 — S02 deferred
rumble,052,"DNA, and Age of Design Begins | Genesis Science Report with David Rives | S02 Ep",https://rumble.com/v726vls-dna-and-age-of-design-begins-genesis-science-report-with-david-rives-s02-ep.html,D1 — S02 deferred
rumble,053,Shadowless Sunlight + Fight for Free Speech | Genesis Science Report with David ,https://rumble.com/v72gt74-shadowless-sunlight-fight-for-free-speech-genesis-science-report-with-david.html,D1 — S02 deferred
rumble,055,"AI Supports the Bible, But Can It Save Humanity? | Genesis Science Report -S02 E",https://rumble.com/v76hh44-ai-supports-the-bible-but-can-it-save-humanity-genesis-science-report-s02-e.html,D1 — S02 deferred
rumble,056,The Age of Design Continues + Does Science Prove God? | Genesis Science Report -,https://rumble.com/v76hiqc-the-age-of-design-continues-does-science-prove-god-genesis-science-report-s.html,D1 — S02 deferred
rumble,058,"Exoplanets, Fossil Secrets, and the Age of Design | Genesis Science Report - S02",https://rumble.com/v76hmau-exoplanets-fossil-secrets-and-the-age-of-design-genesis-science-report-s02-.html,D1 — S02 deferred
youtube,001,Genesis Science Report | Dragon Tales + Gene Splicing S2 Ep1,https://www.youtube.com/watch?v=Dch_9BnjSHo,D1 — S02 deferred
youtube,004,Gene Duplication Theory + Living Fossil Revelations | Genesis Science Report S02,https://www.youtube.com/watch?v=vK2sVLaVDho,D1 — S02 deferred
youtube,006,Kangaroos After the Flood + Fossil Bats | Genesis Science Report with David Rive,https://www.youtube.com/watch?v=fYSHeVisOnw,D1 — S02 deferred
youtube,007,Flood Legends + Flying Lizards | Genesis Science Report with David Rives | S02 E,https://www.youtube.com/watch?v=8CB5nAfY33U,D1 — S02 deferred
youtube,008,Tuskless Elephants Evidence for Evolution? | S2. Ep. 08 Genesis Science Report w,https://www.youtube.com/watch?v=uyQGwfx7fb0,D1 — S02 deferred
youtube,008,Tuskless Elephants Evidence for the Bible? S2 EP 08 l David Rives on Genesis Sci,https://www.youtube.com/watch?v=wL6eazHQx0c,D1 — S02 deferred
youtube,009,Big Bang Busted!? l Genesis Science Report with David Rives l S02 Ep009,https://www.youtube.com/watch?v=hlZ9PB_iKAk,D1 — S02 deferred
youtube,010,Creation Secrets Buried in the Earth | Genesis Science Report with David Rives |,https://www.youtube.com/watch?v=ls90esOY-Vg,D1 — S02 deferred
youtube,011,The Global Flood & Modern Science | Genesis Science Report with David Rives | S0,https://www.youtube.com/watch?v=mvTGTxiqrck,D1 — S02 deferred
youtube,012,Giant Birds and Extraterrestrial Life | Genesis Science Report with David Rives ,https://www.youtube.com/watch?v=0sM2TV86A5Y,D1 — S02 deferred
youtube,013,"Collagen, Bugs and Climate Change | Genesis Science Report with David Rives | S0",https://www.youtube.com/watch?v=NT2tJdwG2iQ,D1 — S02 deferred
youtube,014,Revealing Wonders of the Past | Genesis Science Report with David Rives | S02 Ep,https://www.youtube.com/watch?v=rKUuhlc6-2w,D1 — S02 deferred
youtube,015,Colonizing Mars | Genesis Science Report with David Rives | S02 Ep. 15,https://www.youtube.com/watch?v=7ARC6tuW1Lk,D1 — S02 deferred
youtube,016,A Worldly Legacy or Biblical Truth? | Genesis Science Report with David Rives | ,https://www.youtube.com/watch?v=Rto8A9tAdD8,D1 — S02 deferred
youtube,017,Dinosaurs to Birds | Genesis Science Report with David Rives | S02 Ep. 17,https://www.youtube.com/watch?v=5kpJaVkSONU,D1 — S02 deferred
youtube,018,Beyond Earth | Genesis Science Report with David Rives | S02 Ep. 18,https://www.youtube.com/watch?v=T8Drn9egqKg,D1 — S02 deferred
youtube,019,Defying Predictions | Genesis Science Report with David Rives | S02 Ep. 19,https://www.youtube.com/watch?v=zH7z7XyuB0E,D1 — S02 deferred
youtube,020,The Truth Revolution | Genesis Science Report with David Rives - S02 Ep.20,https://www.youtube.com/watch?v=zAne3qAYu_c,D1 — S02 deferred
youtube,021,Are Humans Becoming Machines?  | Genesis Science Report with David Rives | S02 E,https://www.youtube.com/watch?v=ZCFimheyrEs,D1 — S02 deferred
youtube,022,7 Planets Are Lining Up in 2025 | Genesis Science Report with David Rives | S02 ,https://www.youtube.com/watch?v=jAPc2s31840,D1 — S02 deferred
youtube,023,Billion Dollar Empire and the Real Golden Age | Genesis Science Report with Davi,https://www.youtube.com/watch?v=0--K5sBhwVA,D1 — S02 deferred
youtube,024,What Hubble Just Taught Us After 10 YEARS | Genesis Science Report with David Ri,https://www.youtube.com/watch?v=pu3xwIabC6E,D1 — S02 deferred
youtube,025,Truth vs. Technology: What Are We Becoming? | Genesis Science Report with David ,https://www.youtube.com/watch?v=cHhXAKxRnsE,D1 — S02 deferred
youtube,026,"Starlink, Predators & The Pre-Fall World | Genesis Science Report with David Riv",https://www.youtube.com/watch?v=sCyaqZcCu3M,D1 — S02 deferred
youtube,027,Pipe Organs & Primates: Music vs. Evolution | Genesis Science Report with David ,https://www.youtube.com/watch?v=JiM0BGTiL6o,D1 — S02 deferred
youtube,028,Fossil Clams & Apex Killers | Genesis Science Report with David Rives | S02 Ep28,https://www.youtube.com/watch?v=EgtfD5WB3Q8,D1 — S02 deferred
youtube,029,Designed to Adapt & Built for a Purpose | Genesis Science Report with David Rive,https://www.youtube.com/watch?v=RcV6WlCqFlY,D1 — S02 deferred
youtube,030,CRISPR Unleashed: What Could Go Wrong? | Genesis Science Report with David Rives,https://www.youtube.com/watch?v=tptNBHOssvk,D1 — S02 deferred
youtube,031,"Geodes, Geckos & God’s Hidden Wonders | Genesis Science Report with David Rives ",https://www.youtube.com/watch?v=szqffeE7-VM,D1 — S02 deferred
youtube,032,Science Behind Extinct Species Resurrection | Genesis Science Report with David ,https://www.youtube.com/watch?v=jClLAPx_CYs,D1 — S02 deferred
youtube,033,Satanic Schools and Space Billionaires? | Genesis Science Report with David Rive,https://www.youtube.com/watch?v=3PjRrkuzegY,D1 — S02 deferred
youtube,034,Project 2025 & Proof of Design | Genesis Science Report with David Rives | S02 E,https://www.youtube.com/watch?v=deADMG61tPk,D1 — S02 deferred
youtube,035,The Secrets of Resurrection | Genesis Science Report with David Rives | S.02 Ep.,https://www.youtube.com/watch?v=5gzVD7gZSDE,D1 — S02 deferred
youtube,036,Exposing Evolution’s Dark Past | Genesis Science Report with David Rives | S.02 ,https://www.youtube.com/watch?v=f6tf2O3JWbk,D1 — S02 deferred
youtube,038,Quantum Gravity Breakthrough and Gold in Earth’s Core? | Genesis Science Report ,https://www.youtube.com/watch?v=DFX4yn6XiPw,D1 — S02 deferred
youtube,039,Exodus Pharaoh + Fossils in Wrong Places | Genesis Science Report with David Riv,https://www.youtube.com/watch?v=6Y50LUjyi4s,D1 — S02 deferred
youtube,040,Cosmic Countdown? + Satire Still Speaks Truth | Genesis Science Report with Davi,https://www.youtube.com/watch?v=ru4cB_LtHoE,D1 — S02 deferred
youtube,041,Surviving Mount St. Helens + Gold for Blindness | Genesis Science Report with Da,https://www.youtube.com/watch?v=ftT5WSI-I98,D1 — S02 deferred
youtube,042,Big Bang Challenged + DNA Experiment | Genesis Science Report with David Rives |,https://www.youtube.com/watch?v=hW0tH7q1VE8,D1 — S02 deferred
youtube,043,"Mars ""Skull Hill"" + Mystery of Cambrian Life | Genesis Science Report with David",https://www.youtube.com/watch?v=24H5Ym2cGoE,D1 — S02 deferred
youtube,045,Raptor Fossils and Solar Flares | Genesis Science Report with David Rives | S02 ,https://www.youtube.com/watch?v=yoHUzoF1Sb4,D1 — S02 deferred
youtube,046,Climate Change in Classrooms | Genesis Science Report with David Rives | S02 Ep4,https://www.youtube.com/watch?v=_rEzZkQtPfU,D1 — S02 deferred
youtube,047,Neanderthal Brains + Fusion Gold | Genesis Science Report with David Rives | S02,https://www.youtube.com/watch?v=vVlk-MKTaGA,D1 — S02 deferred
youtube,048,"Extinction, Radioactive Dogs, & AI Singularity | Genesis Science Report with Dav",https://www.youtube.com/watch?v=WtxSS3biycI,D1 — S02 deferred
youtube,049,Rewriting Life's Code + Ringed Earth Theory | Genesis Science Report with David ,https://www.youtube.com/watch?v=cgcL_5F5LDo,D1 — S02 deferred
youtube,050,Monkey Bones + Dark Side of Evolution | Genesis Science Report with David Rives ,https://www.youtube.com/watch?v=KVwQzWilQxg,D1 — S02 deferred
youtube,051,"Harpy Eagles, Living Fossils, and Babel | Genesis Science Report with David Rive",https://www.youtube.com/watch?v=aAZI8Gf29ws,D1 — S02 deferred
youtube,052,"DNA, and Age of Design Begins | Genesis Science Report with David Rives | S02 Ep",https://www.youtube.com/watch?v=zW4pG_EB9Qk,D1 — S02 deferred
youtube,053,Shadowless Sunlight + Fight for Free Speech | Genesis Science Report with David ,https://www.youtube.com/watch?v=-c3DSo9iuDk,D1 — S02 deferred
youtube,054,Snakes and Scientists: What's Being Hidden from the Public | Genesis Science Rep,https://www.youtube.com/watch?v=2IoYQp5pIUk,D1 — S02 deferred
youtube,055,"AI Supports the Bible, But Can It Save Humanity? | Genesis Science Report -S02 E",https://www.youtube.com/watch?v=CqRa-UzSbFI,D1 — S02 deferred
youtube,056,The Age of Design Continues + Does Science Prove God? | Genesis Science Report -,https://www.youtube.com/watch?v=MR_fR6bzWtM,D1 — S02 deferred
youtube,057,Nature's Superpowers: Owl Precision and Lizard Defenses | Genesis Science Report,https://www.youtube.com/watch?v=pPOY2PTiVQw,D1 — S02 deferred
youtube,058,"Exoplanets, Fossil Secrets, and the Age of Design | Genesis Science Report - S02",https://www.youtube.com/watch?v=aYQsquu7DQE,D1 — S02 deferred
