level,episode_uid,interview_no,guest_key,guest_raw,source_families_agreeing,num_independent,tier,conflict_or_rule_note
episode_guest,S03E018,1,john-barentine,"John Barentine (Tucson, AZ)",SCHEDULE|SCRIPTS,2,confirmed_2src,"SCRIPTS family has GSR_S03_Ep018_Run_Of_Show. No dedicated Int1 interview doc for Barentine; SCHEDULE + SCRIPTS = 2 families."
episode_guest,S03E018,2,stephen-meyer,Stephen Meyer,SCHEDULE|INTERVIEW-DOCS,2,confirmed_2src,"Interview doc title: 'S03 Ep018 Interview 2: Stephen Meyer' independently confirms."
episode_guest,S03E019,1,joeseph-hubbard,"Joeseph Hubbard (Oswestry, UK)",SCHEDULE,1,still_human,SCHEDULE only; no interview docs or platform for Ep019.
episode_guest,S03E019,2,tom-rogers,Tom Rogers (B.C. Canada),SCHEDULE,1,still_human,SCHEDULE only; no interview docs or platform for Ep019.
episode_guest,S03E020,2,andrew-fabich,"Andrew Fabich (Gainsville GA)",SCHEDULE|INTERVIEW-DOCS,2,confirmed_2src,"Interview doc title: 'S03 Ep020 Interview 2: Andrew Fabich' independently confirms Int2 placement."
episode_guest,S03E020,1,mike-houts,"Mike Houts (Madison AL)",SCHEDULE,1,still_human,"No interview doc for mike-houts at Ep020. SCHEDULE only. Note: SCHEDULE uses mike-houts key here (vs michael-houts at Ep009); these may be the same person but key inconsistency prevents cross-episode inference."
episode_guest,S03E021,1,david-legates,David Legates,SCHEDULE|INTERVIEW-DOCS|GRAPHICS-TRACKER,3,confirmed_2src,"Interview doc: 'S03 Ep021 Interview 1 David Legates'; GRAPHICS-TRACKER Ep021 tab Interview 1 header confirms topic '10th Planetary Boundary' (attributed to david-legates in drive_facts normalized_value)."
episode_guest,S03E021,,billy-hallowell,Billy Hallowell,SCHEDULE,1,still_human,"KNOWN CONFLICT: SCHEDULE says Ep021 (pre-recorded, interview# blank). GRAPHICS-TRACKER places Billy Hallowell at Ep025 Ministry Report slot. Conflict between SCHEDULE (Ep021) and GRAPHICS-TRACKER (Ep025) — two different episode numbers, same person. No third family breaks this tie. tier=still_human."
episode_guest,S03E022,1,tim-clarey,Tim Clarey,SCHEDULE|INTERVIEW-DOCS|GRAPHICS-TRACKER,3,confirmed_2src,"KNOWN CONFLICT flagged: interview doc TITLE 'S03 Ep022 Interview 1 Tim Clarey' says Ep022 but doc BODY (SCHEDULE NOTES section) says 'Episode: S03 Ep018'. Title and body are within the same INTERVIEW-DOCS family. Independent families: SCHEDULE (row 22a = S03 Ep022 Tim Clarey) and GRAPHICS-TRACKER (Ep022 tab Interview 1 = Green River Mystery = tim-clarey) both independently confirm Ep022. Per instructions: 3rd family (GRAPHICS-TRACKER) breaks the tie. Attesting confirmed_2src for Ep022 tim-clarey. LEAD should note doc body discrepancy as a data quality issue."
episode_guest,S03E022,2,jerry-bergman,Bergman,INTERVIEW-DOCS|GRAPHICS-TRACKER,2,confirmed_2src,"SCHEDULE source key is blank (last-name only token 'Bergman'). INTERVIEW-DOCS title 'S03 Ep022 Interview 2: Jerry Bergman' and GRAPHICS-TRACKER Ep022 tab Interview 2 header referencing Jerry Bergman book cover independently confirm jerry-bergman at Ep022 Int2. Two independent families confirm; SCHEDULE row is same-origin as SCHEDULE family but key was blank."
episode_guest,S03E023,1,andrew-fabich,"Andrew Fabich (TBD)",INTERVIEW-DOCS|GRAPHICS-TRACKER,2,confirmed_2src,"SCHEDULE key is blank (TBD qualifier); not counted as resolving. INTERVIEW-DOCS title 'S03 Ep023 Interview 1: Andrew Fabich' and GRAPHICS-TRACKER Ep023 tab Interview 1 'The Smell of Rain' attributed to andrew-fabich independently confirm. Two independent families."
episode_guest,S03E023,2,dan-janzen,Dan Janzen,SCHEDULE|INTERVIEW-DOCS,2,confirmed_2src,"Interview doc title: 'S03 Ep023 Interview 2 Dan Janzen' independently confirms."
episode_guest,S03E024,1,carl-werner,Carl Werner,SCHEDULE|INTERVIEW-DOCS|GRAPHICS-TRACKER,3,confirmed_2src,"Interview doc: 'S03 Ep024 Interview 1 Carl Werner'; GRAPHICS-TRACKER Ep024 tab Interview 1 = 'Evolution: The Grand Experiment' attributed to carl-werner."
episode_guest,S03E024,2,dr-ming-wang,Dr. Ming Wang,SCHEDULE|INTERVIEW-DOCS|GRAPHICS-TRACKER,3,confirmed_2src,"Interview doc: 'S03 Ep024 Interview 2: Dr. Ming Wang'; GRAPHICS-TRACKER Ep024 tab Interview 2 = 'The Eye That Convinced a Harvard Scientist' attributed to dr-ming-wang."
episode_guest,S03E025,2,david-coppedge,Coppedge,INTERVIEW-DOCS|GRAPHICS-TRACKER,2,confirmed_2src,"SCHEDULE source key is blank (surname only 'Coppedge'). INTERVIEW-DOCS title 'S03 Ep025 Interview 2: David Coppedge' and GRAPHICS-TRACKER Ep025 tab Interview 2 'The Creation Deficit' attributed to david-coppedge independently confirm. Two independent families."
episode_guest,S03E025,1,jeffrey-tomkins,Jeff Tomkins,SCHEDULE,1,still_human,"SCHEDULE places jeff-tomkins at Ep025 Int1. No interview doc for Ep025 Int1 in drive_facts. No PLATFORM episode_guest for Ep025. SCHEDULE only."
episode_guest,,,,jake-hebert (no uid),PLATFORM,1,still_human,YouTube row has no episode_uid assigned (date-blocked D3/D5). Cannot confirm episode placement. PLATFORM only.
episode_guest,,,,jim-johnson (no uid),PLATFORM,1,still_human,YouTube row has no episode_uid assigned (date-blocked D3/D5). Cannot confirm episode placement. PLATFORM only.
episode_guest,,,,michael-houts (no uid),PLATFORM,1,still_human,YouTube row has no episode_uid assigned (date-blocked D3/D5). Cannot confirm episode placement. PLATFORM only.
episode_guest,,,,rob-stadler (no uid),PLATFORM,1,still_human,YouTube row has no episode_uid assigned (date-blocked D3/D5). Cannot confirm episode placement. PLATFORM only.
